rbp,target,spearman_r,p_value
Celf2,Grm1,0.29591760618666846,2.6915116630611186e-60
Celf2,Dcc,0.22631964034992175,2.4050630209859317e-35
Celf2,Tnr,0.2279388828934643,7.672914437858872e-36
Celf2,Mctp1,0.3101222484323861,2.413357431238139e-66
Celf2,Cyp7b1,0.23107850842999791,8.163078083279672e-37
Celf2,Epha6,0.34166021880514863,5.170540556684566e-81
Celf2,Kcnt2,0.2967951829074796,1.1645599551164201e-60
Celf2,Tmem181a,0.20080011273090803,4.955124885223227e-28
Celf2,Asic2,0.21435887502643,8.44842479868984e-32
Celf2,Lrrc7,0.2630083466634126,1.481099656998426e-47
Celf2,Egfem1,0.24583693982364832,1.3804903447240747e-41
Celf2,Cacna1c,0.2577371014842411,1.1259143265939826e-45
Celf2,Clic4,-0.20508058553247216,3.4194772371114986e-29
Celf2,Slc2a13,0.2522844277911783,8.950823596416341e-44
Celf2,Orc2,0.23903335749869714,2.4017269892154357e-39
Celf2,Csmd1,0.23193221975116418,4.41285556263661e-37
Celf2,Enox1,0.276289000226116,1.730880279179289e-52
Celf2,Nrg3,0.3129818690558885,1.3303497486763563e-67
Celf2,Shank2,0.2582693379920009,7.30381189441979e-46
Celf2,Zcchc16,0.24814265515542167,2.3163575764206162e-42
Celf2,Ptprn2,0.22694510225548117,1.548576772412954e-35
Celf2,Raph1,0.24362747447120334,7.504380995482127e-41
Celf2,Fam189a1,0.25941990243375707,2.855837516383299e-46
Celf2,Atp2b3,0.27999275905569015,6.4970029739172e-54
Celf2,Kcnk10,0.2440865696524589,5.286200611467396e-41
Celf2,Adcy9,0.23342519960303096,1.496040281397362e-37
Celf2,Nrcam,0.20435596828109354,5.399562252310595e-29
Celf2,Il1rapl1,0.22588807338248776,3.2562123263286753e-35
Elavl3,Dapk1,0.27051761307065253,2.606016910590303e-50
Elavl3,Dlg2,0.26041552062173895,1.262344618084832e-46
Elavl3,Slit3,0.25515769487439144,9.040527222283666e-45
Elavl3,Scfd1,0.2281387984700871,6.659375559075463e-36
Elavl3,Slc8a1,0.24393358685804362,5.941370871743926e-41
Elavl3,Grm7,0.21096324215604106,7.858940784762089e-31
Elavl3,Xkr4,0.2922115102839575,8.963185992266823e-59
Elavl3,Pcdh15,0.22061065172805147,1.2578663193392212e-33
Elavl3,Lrp1b,0.25526159130358533,8.316725486503284e-45
Elavl3,Ptprj,0.23273012399368828,2.477804161854735e-37
Elavl3,Cdh8,0.28372595554115326,2.256786771644224e-55
Elavl3,Cntnap5b,0.2248454798218996,6.752571990654363e-35
Elavl3,Kcnma1,0.22788312811316058,7.981952272333805e-36
Elavl3,Nkain3,0.20755406850936856,7.096561447540083e-30
Elavl3,Apba1,0.2235084878499197,1.711294308154473e-34
Elavl3,Spock1,0.22612712567373033,2.753333513558795e-35
Elavl3,Dcc,0.3175410331118507,1.2254109139518015e-69
Elavl3,Mctp1,0.2873389913162621,8.312669738400696e-57
Elavl3,Epha6,0.2569132740471297,2.195680080596085e-45
Elavl3,Rgs6,0.2171314786542564,1.3288909091852035e-32
Elavl3,Tmem181a,0.23078261434458525,1.0096921529090963e-36
Elavl3,Pcdh9,0.21117446735020085,6.848570912708909e-31
Elavl3,Sorbs2,0.2841000274115954,1.6070610037030754e-55
Elavl3,Lrrc7,0.3239974050491552,1.3931207621093628e-72
Elavl3,Tmod3,0.22533555573132708,4.7948611253281467e-35
Elavl3,Cacna1c,0.22289238127613661,2.6214542488145687e-34
Elavl3,Adamts18,0.32855991195155804,1.045731412555167e-74
Elavl3,Kalrn,0.2015241301971004,3.1659361161498475e-28
Elavl3,Ppfia2,0.2672168967658461,4.342091586928821e-49
Elavl3,Enox1,0.29262995117120594,6.049243019491916e-59
Elavl3,Nrg3,0.2330618861676629,1.9479074086397695e-37
Elavl3,Raph1,0.26448448284804094,4.326050635489177e-48
Elavl3,Wdr70,0.21723481808588152,1.2397473487153063e-32
Elavl4,Spock1,0.2506979066594229,3.1347288621448093e-43
Elavl4,Sh3rf1,0.20435780192529507,5.393335710971953e-29
Hnrnpa1,Cnot6,0.2203087295125217,1.545915874952983e-33
Hnrnpa1,Dapk1,0.3040773808160641,9.943674761613077e-64
Hnrnpa1,Slit3,0.2050935972651151,3.3914877208172207e-29
Hnrnpa1,Vmp1,0.23198049770178383,4.26167852164798e-37
Hnrnpa1,Scfd1,0.2697571710677388,5.0000155789922095e-50
Hnrnpa1,Xkr4,0.2249522448253761,6.267667922994938e-35
Hnrnpa1,Pcdh15,0.2343451744076597,7.652636310407782e-38
Hnrnpa1,Cdh8,0.25620432183904,3.8935446803068786e-45
Hnrnpa1,Cntnap5b,0.23126878159895994,7.1188461645251966e-37
Hnrnpa1,Nkain3,0.2068383049027082,1.1209061713309862e-29
Hnrnpa1,Apba1,0.21186091872302515,4.374513990769736e-31
Hnrnpa1,Dcc,0.2591495970890544,3.562276233748284e-46
Hnrnpa1,Mctp1,0.2748329268795525,6.204219512441555e-52
Hnrnpa1,Rgs6,0.274720428695171,6.84512826210941e-52
Hnrnpa1,Pcdh9,0.20148854504675623,3.2365460975137044e-28
Hnrnpa1,Sorbs2,0.23575357997386398,2.726848537147987e-38
Hnrnpa1,Lrrc7,0.3043009080950996,7.97904563366847e-64
Hnrnpa1,Tmod3,0.23789420776320774,5.6082865433394874e-39
Hnrnpa1,Phf20l1,0.21069306071822347,9.369472779075414e-31
Hnrnpa1,Adamts18,0.33647189338810757,1.769116549465478e-78
Hnrnpa1,Kalrn,0.20235123272543176,1.893798378769978e-28
Hnrnpa1,Ppfia2,0.24676697316945448,6.734600855248873e-42
Hnrnpa1,Enox1,0.24782124818371795,2.974096425209311e-42
Hnrnpa1,Raph1,0.20522984646403644,3.11170807618709e-29
Hnrnpa1,Wdr70,0.2233881495371876,1.8601389100810512e-34
Hnrnpa1,Ddx50,0.20990346089453832,1.5640311101180632e-30
Hnrnpc,Dcc,0.21756483669348606,9.929424415693605e-33
Hnrnpc,Mctp1,0.21535746750764853,4.3526052195297726e-32
Hnrnpc,Adamts18,0.20657364013346083,1.3267499060938001e-29
Matr3,Dlg2,0.22614772520531867,2.713794339696031e-35
Matr3,Slit3,0.21181328549754513,4.512945476598808e-31
Matr3,Grm7,0.2089085747355044,2.9740591022030355e-30
Matr3,Rgs7,0.21292415133714884,2.1780216657153813e-31
Matr3,Lrp1b,0.20456174771413455,4.7434360489173416e-29
Matr3,Cdh8,0.24802318804287993,2.5419785507917892e-42
Matr3,Klhl29,0.20503563980256345,3.517933868036761e-29
Matr3,Kcnma1,0.21139397813446775,5.935034070982065e-31
Matr3,Grin2a,0.21771833078643174,8.9542529769435e-33
Matr3,Mctp1,0.2119714807355609,4.0692266144588004e-31
Matr3,Epha6,0.2503946624207049,3.9792760186414265e-43
Matr3,Lrrc7,0.24036161525527244,8.88401183654473e-40
Matr3,Enox1,0.2252236108008709,5.18528078523575e-35
Matr3,Nrg3,0.2519536070208203,1.1632864243448198e-43
Matr3,Atp2b3,0.2174621130337512,1.0640205218442635e-32
Rbfox1,Fgf14,0.2811811254513054,2.2420619064340228e-54
Rbfox1,Nkain2,0.27220413399571275,6.096494799656911e-51
Rbfox1,Dlg2,0.3808244886464586,9.228266296647797e-102
Rbfox1,Slit3,0.37191078249577175,8.822093213256072e-97
Rbfox1,Grm7,0.30505337260032117,3.7977480292358935e-64
Rbfox1,Rgs7,0.2852040222328001,5.881896745828807e-56
Rbfox1,Xkr4,0.23695570494089177,1.1240858185931673e-38
Rbfox1,Fam155a,0.22370640487365412,1.4917885336701621e-34
Rbfox1,Ncam2,0.23156065021181613,5.769266207331473e-37
Rbfox1,Dgkh,0.22106048857464952,9.246201002355858e-34
Rbfox1,Tmem108,0.3225824991271175,6.243599658342682e-72
Rbfox1,Cntn5,0.3029843529757866,2.9093284842046343e-63
Rbfox1,Lrp1b,0.2733088141659979,2.340953105850568e-51
Rbfox1,Prkg1,0.2647621030496526,3.42915555050089e-48
Rbfox1,Ptprj,0.28480191694052215,8.486666641343037e-56
Rbfox1,Eml6,0.2625604766358285,2.1482225171926356e-47
Rbfox1,Arl15,0.2597329331743939,2.210163312253801e-46
Rbfox1,Cdh8,0.3049546258612893,4.186900785281942e-64
Rbfox1,Cacnb2,0.21644048178194275,2.1121929909420906e-32
Rbfox1,Cntnap5b,0.24426402326158253,4.615719490647665e-41
Rbfox1,Fam135b,0.32080773468929596,4.0516182037957635e-71
Rbfox1,Klhl29,0.28603515412455666,2.7516008507351666e-56
Rbfox1,Kcnma1,0.34155884184812274,5.801226224054662e-81
Rbfox1,Nkain3,0.31653167708672425,3.4837406820048475e-69
Rbfox1,Cacna1e,0.3155354391993579,9.731740551571632e-69
Rbfox1,Palm2,0.2016159033578497,2.9908053003855665e-28
Rbfox1,Grin2a,0.35154093263193625,5.644542869740114e-86
Rbfox1,Akap6,0.20625999259009878,1.6196817455821655e-29
Rbfox1,Grm1,0.3319295425018673,2.6713737214972815e-76
Rbfox1,Unc5d,0.2098314896004838,1.6386418638887868e-30
Rbfox1,Macrod2,0.21239219873461826,3.0888474043388273e-31
Rbfox1,Dcc,0.234251462756083,8.194539965271334e-38
Rbfox1,Unc79,0.2509401774024521,2.5901587783303998e-43
Rbfox1,Tnr,0.24512073543845614,2.3943564947023024e-41
Rbfox1,Luzp2,-0.23953791648337083,1.6472795506210423e-39
Rbfox1,Mctp1,0.32495133357969574,5.0443774879247365e-73
Rbfox1,Cyp7b1,0.23826700507044127,4.251216375262184e-39
Rbfox1,Epha6,0.34186686065448413,4.088777557001442e-81
Rbfox1,Kcnt2,0.3232688470832257,3.0190193281247746e-72
Rbfox1,Csmd3,0.20250711743840358,1.718555445927532e-28
Rbfox1,Sorbs2,0.2478981998378995,2.801433724413227e-42
Rbfox1,Lrrc7,0.2744512664437096,8.65864762276578e-52
Rbfox1,Egfem1,0.21404503547894863,1.0399155697435195e-31
Rbfox1,Cacna1c,0.29748131958086305,6.036798027497015e-61
Rbfox1,Clic4,-0.31297752735798523,1.3362490504986841e-67
Rbfox1,Kalrn,0.21020477330725057,1.2865710346039894e-30
Rbfox1,Nav3,0.2018532677975851,2.5811392636760487e-28
Rbfox1,Slc2a13,0.2475324883536059,3.721723698429334e-42
Rbfox1,Kcnj6,0.237594649356388,7.004202556775336e-39
Rbfox1,Csmd1,0.20938683712307804,2.1845229933915135e-30
Rbfox1,Enox1,0.3047079465291364,5.341420212691166e-64
Rbfox1,Nrg3,0.32893055939846855,7.001881705075248e-75
Rbfox1,Shank2,0.25690782700563164,2.2053799879525035e-45
Rbfox1,Zcchc16,0.26061039896460675,1.0754696884111014e-46
Rbfox1,Ptprn2,0.24973836659056933,6.661114509753173e-43
Rbfox1,Raph1,0.24510117540647572,2.430576967122472e-41
Rbfox1,Fam189a1,0.2591463386276764,3.571774934840392e-46
Rbfox1,Eefsec,0.21591360473312501,3.0040884314411556e-32
Rbfox1,Atp2b3,0.2954843409747891,4.0658669065801017e-60
Rbfox1,Kcnk10,0.2520995020528524,1.036358666604254e-43
Rbfox1,Dync2h1,0.20597850773885293,1.936714097135393e-29
Rbfox1,Ube3a,0.2588851673885405,4.421048241014747e-46
Rbfox1,Adcy9,0.24392546842409935,5.978310712361298e-41
Rbfox1,Vash1,0.20636945481119176,1.5108048792992178e-29
Rbfox1,Nrcam,0.23954762048267358,1.6353626869842898e-39
Rbfox1,Il1rapl1,0.2573073356410327,1.595709881183462e-45
Rbfox2,Dapk1,0.2036978595291607,8.163860287096562e-29
Rbfox2,Xkr4,0.22766473761887915,9.316145372549473e-36
Rbfox2,Cdh8,0.21067399461123376,9.486349040434106e-31
Rbfox2,Mctp1,0.20982055924699758,1.6502778008785773e-30
Rbfox2,Epha6,0.2107799961486087,8.854405355556275e-31
Rbfox2,Sorbs2,0.20407461426843998,6.444510680731716e-29
Rbfox2,Lrrc7,0.24462665299365374,3.497187882068933e-41
Rbfox2,Tmod3,0.21381728203337524,1.2088792611311128e-31
Rbfox2,Adamts18,0.21074439134756567,9.061866112562141e-31
Rbfox2,Enox1,0.21391140666419095,1.13597868349501e-31
Rbfox2,Nrg3,0.2136906248905971,1.314352514833108e-31
Rbfox2,Raph1,0.2164556905394831,2.0907962948686642e-32
Rbfox3,Fgf14,0.22990370549613867,1.895348664084916e-36
Rbfox3,Nkain2,0.24444822766170482,4.0090713019377093e-41
Rbfox3,Dlg2,0.3052173583973056,3.229483030654002e-64
Rbfox3,Slit3,0.2749191424089395,5.753785253500283e-52
Rbfox3,Grm7,0.2843113130732544,1.3263064309551255e-55
Rbfox3,Rgs7,0.2920561181658984,1.0370578056504555e-58
Rbfox3,Xkr4,0.24361214737943462,7.592585073527758e-41
Rbfox3,Ncam2,0.20650255168163753,1.3881570875182526e-29
Rbfox3,Dgkh,0.210069336813724,1.4046620259125339e-30
Rbfox3,Tmem108,0.28232009647643214,8.047316983609059e-55
Rbfox3,Cntn5,0.31009680274622925,2.476047228229818e-66
Rbfox3,Lrp1b,0.27000390414695263,4.048100642665418e-50
Rbfox3,Prkg1,0.2742905907224924,9.961495597671639e-52
Rbfox3,Ptprj,0.2982711707054392,2.8271548922697847e-61
Rbfox3,Eml6,0.2865923931784347,1.6510141997485374e-56
Rbfox3,Arl15,0.23137987812753066,6.5716798507207415e-37
Rbfox3,Cdh8,0.2905679874888681,4.172359989298105e-58
Rbfox3,Fam135b,0.2653625218792113,2.0727380676311852e-48
Rbfox3,Klhl29,0.2890313737963444,1.7411912928784104e-57
Rbfox3,Kcnma1,0.24157517158440986,3.561780043699556e-40
Rbfox3,Nkain3,0.27294694597981006,3.204616747079101e-51
Rbfox3,Cacna1e,0.2886169973249202,2.5556702693547206e-57
Rbfox3,Grin2a,0.32397372173154526,1.4286365618260225e-72
Rbfox3,Grm1,0.3180136450995191,7.502579567256108e-70
Rbfox3,Macrod2,0.20119900364098275,3.872221575122112e-28
Rbfox3,Tnr,0.20863039632602412,3.557411603218732e-30
Rbfox3,Mctp1,0.2631068379203995,1.3646705357123245e-47
Rbfox3,Epha6,0.2955632494390855,3.771788560072266e-60
Rbfox3,Kcnt2,0.25038665350374556,4.004408920253753e-43
Rbfox3,Asic2,0.2158695783465532,3.0936951123297754e-32
Rbfox3,Csmd3,0.20395310389702656,6.955632276631442e-29
Rbfox3,Fbxl17,0.2164273655219974,2.1308202628184834e-32
Rbfox3,Lrrc7,0.21072745178245122,9.162254911342164e-31
Rbfox3,Egfem1,0.24629189632332776,9.72095549640031e-42
Rbfox3,Cacna1c,0.26360323782049633,9.027986808264656e-48
Rbfox3,Clic4,-0.2583961986876959,6.586955773994479e-46
Rbfox3,Slc2a13,0.26529742325466205,2.1891597085263184e-48
Rbfox3,Kcnj6,0.22381696786971159,1.3815859266269315e-34
Rbfox3,Csmd1,0.20420608499654888,5.933383093495175e-29
Rbfox3,Enox1,0.21764650092557827,9.39815909996098e-33
Rbfox3,Nrg3,0.2895861319347364,1.0406107239802499e-57
Rbfox3,Shank2,0.258278801453899,7.247757385289692e-46
Rbfox3,Cntfr,0.21800328161359328,7.389148332324681e-33
Rbfox3,Zcchc16,0.2244089999206178,9.153831700494225e-35
Rbfox3,Ptprn2,0.2048474026682478,3.9617483258395476e-29
Rbfox3,Raph1,0.21149249762279052,5.565379381584123e-31
Rbfox3,Fam189a1,0.2577755093105179,1.0913312169991454e-45
Rbfox3,Atp2b3,0.2940505086410377,1.5842899045806608e-59
Rbfox3,Kcnk10,0.23321821885995367,1.7388801040258338e-37
Rbfox3,Ube3a,0.2315361445741034,5.872056005508059e-37
Rbfox3,Adcy9,0.26659184822925436,7.364093188269529e-49
Rbfox3,Il1rapl1,0.24812523097917474,2.3479797455917967e-42
Ybx1,Cnot6,0.27633983841579635,1.6551924469358757e-52
Ybx1,Dapk1,0.4399801110453301,5.349686256461338e-139
Ybx1,Dlg2,0.22042225314847402,1.4306386114625197e-33
Ybx1,Slit3,0.2677382346472083,2.7917382869748647e-49
Ybx1,Vmp1,0.28618318152170436,2.4027335262079717e-56
Ybx1,Scfd1,0.41175016406409315,2.7368134933824444e-120
Ybx1,Slc8a1,0.27099954192051484,1.7224886851128021e-50
Ybx1,Grm7,0.24893575942183455,1.248171420464287e-42
Ybx1,Rgs7,0.22701858596853286,1.4703881472472476e-35
Ybx1,Xkr4,0.29030069682724,5.352888337936358e-58
Ybx1,Pcdh15,0.2960619044782031,2.345629096751435e-60
Ybx1,Prkg1,0.2538856679967973,2.5035457523522665e-44
Ybx1,Ptprj,0.2597950876212477,2.1004146262445106e-46
Ybx1,Arl15,0.20498009993262983,3.643488814330176e-29
Ybx1,Adarb2,-0.2978023020509116,4.436554547128488e-61
Ybx1,Cdh8,0.3686803759471679,5.154384499548168e-95
Ybx1,Cntnap5b,0.267477156600552,3.483299934678308e-49
Ybx1,Nkain3,0.2312164241610388,7.392175487734363e-37
Ybx1,Apba1,0.3336298990842446,4.12464460056622e-77
Ybx1,Rmdn1,0.204050810438147,6.541615761377674e-29
Ybx1,Igf1r,0.20302709603491417,1.2423583396447594e-28
Ybx1,Frmd4b,0.2336135685122359,1.3044743918583125e-37
Ybx1,Macrod2,0.24553445828161483,1.7423415896667318e-41
Ybx1,Dcc,0.32952772320000223,3.6646716923374265e-75
Ybx1,Tenm2,0.26738874492551656,3.754182620742869e-49
Ybx1,Mctp1,0.38811264472275747,5.965521102074851e-106
Ybx1,Epha6,0.20428913183701577,5.631451371567989e-29
Ybx1,Mmp16,0.2065826797984171,1.3191369717885216e-29
Ybx1,Ntng1,-0.335449227677417,5.515084310573442e-78
Ybx1,Rgs6,0.3451423067204634,9.667922620533958e-83
Ybx1,Tmem181a,0.3051306531732125,3.518504039660474e-64
Ybx1,Ptprd,0.21854710527714147,5.1171865091741406e-33
Ybx1,Pcdh9,0.24982236621235204,6.236583373132626e-43
Ybx1,Btbd7,0.23052950960401225,1.2107880802412775e-36
Ybx1,Pacs1,0.20245221663313642,1.7783587141343032e-28
Ybx1,Sorbs2,0.28492340155436907,7.597332313686145e-56
Ybx1,Lrrc7,0.429326906351525,9.975666223890969e-132
Ybx1,Tmod3,0.3846061802647087,6.376576001474289e-104
Ybx1,Phf20l1,0.29824799918156814,2.890876327166171e-61
Ybx1,Cacna1c,0.20981791465071925,1.6531054062663858e-30
Ybx1,Adamts18,0.4567682864817901,5.373175985053335e-151
Ybx1,Kalrn,0.20136318320957583,3.4979633309791982e-28
Ybx1,Csmd1,0.26669014218232096,6.777691498419317e-49
Ybx1,Ppfia2,0.2766011467244504,1.3151400741691353e-52
Ybx1,Enox1,0.2795637425204174,9.527226724979351e-54
Ybx1,Nrg3,0.2135405846138725,1.4511678112467862e-31
Ybx1,Prr16,-0.23402916755617792,9.637315456232698e-38
Ybx1,Raph1,0.2856163732334621,4.0361563216322356e-56
Ybx1,Wdr70,0.3810987547415045,6.44744968144955e-102
Ybx1,Prcp,0.22458174259620928,8.116014755787571e-35
Ybx1,Ddx50,0.3039683361429015,1.1070100614737895e-63
Ybx1,Tanc2,0.20026662267171302,6.885438104526776e-28
